Rank,Player,Team,Position,Tack,Asst,Scks,PassDef,Int,FumFrc,Fum,DefTD,Pts
195,"Skrine, Buster",NYJ,DB,44,10.7,0.7,7.5,1.8,0.3,0,0,61.5
196,"Woodyard , Wesley",TEN,LB,43.5,20.5,2.8,3.3,0.7,0,0,0.2,61.4
197,"Carder, Tank",CLE,LB,39.9,25.2,4.2,3.9,0.4,0,0,0,61.4
198,"Tartt, Jaquiski",SFO,DB,46.7,14,1.2,4.8,0.6,0.4,0,0.2,61.3
199,"McCain, Brice",TEN,DB,41.2,9.7,0,12.1,1.6,0,0,0,61.2
200,"Jordan, Cameron",NOR,DL,37.6,16.2,8.4,6,0,0.6,0.6,0,61.2
201,"Thomas, Earl",SEA,DB,34.4,28.2,0,8.6,1.6,0.4,0.4,0.2,61.1
202,"Thomas, Joe",GBP,LB,47.1,15.2,0,6.4,0,0,0,0,61
203,"Wilson, Tavon",DET,DB,50.6,12.3,1.3,1.1,0.9,0,0,0.2,60.9
204,"Taylor, Jamar",CLE,DB,43.8,8.7,0,9.2,1.7,0,0,0,60.7
205,"Thompson, Darian",NYG,DB,43.5,10.4,0,9.1,1,0.4,0.4,0.2,60.7
206,"Hughes, Jerry",BUF,DL,43,16.2,6.5,1.7,0,0.7,0.7,0,60.6
207,"Talib, Aqib",DEN,DB,39.6,6.4,0,13.8,1.8,0.2,0,0.2,60.3
208,"Graham, Brandon",PHI,DL,42,20.6,5.1,1.5,0,0.8,0.2,0,59.9
209,"Cox, Fletcher",PHI,DL,36,22.2,7.9,3,0,1,1,0,59.9
210,"Brooks, Ahmad",SFO,LB,41.7,11.2,7.9,3,0,0.8,0.8,0,59.8
211,"Kirkpatrick, Dre",CIN,DB,39.3,10,0.2,7.9,3.7,0,0,0,59.7
212,"Mills, Jalen",PHI,DB,46,10.6,0,7.6,0.3,0,0,0,59.4
213,"Mercilus, Whitney",HOU,LB,38.8,24.3,6.5,1.8,0,0,0,0,59.2
214,"Ingram, Melvin",LAC,DL,58,1.7,0.3,0,0,0,0,0,59.1
215,"Atkins, Geno",CIN,DL,37,15.4,14.1,0,0,0,0,0,58.8
216,"Perry, Nick",GBP,LB,34,19.4,9.9,3.3,0.6,0.6,0,0,58.8
217,"Suh, Ndamukong",MIA,DL,37,22,5.8,3.6,0.2,0.4,0.4,0,58.7
218,"Wake, Cameron",MIA,DL,32,11.5,9.8,4.3,1.1,4.3,0.2,0,58.6
219,"Joyner, Lamarcus",LAR,DB,43.4,14.3,0.5,5.3,0.8,0.5,0,0,58.5
220,"Buckner, DeForest",SFO,DL,41,21.8,4.6,1.8,0,0,0,0,58.2
221,"Heyward, Cameron",PIT,DL,37,17.7,7.7,3.1,0,0.6,0.6,0,58
222,"Clark, Frank",SEA,DL,31,23.7,11.1,0.3,0,3.3,0.2,0,57.8
223,"Colvin, Aaron",JAC,DB,46.4,12.4,0.3,4.7,0,0,0,0,57.7
224,"Lee, Marquel",OAK,LB,42.4,19,2.9,0.9,0,0.9,0.9,0,57.4
