Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Ted Ginn,NO ,3.9,23.5,0.1,50.3,709.2,4.9,1.9,99.4
,high,4,28.5,0.1,65,812,5.6,1.9,160.7
,low,3.6,15.9,0,41,590,4.3,1.9,91.6
Robby Anderson,NYJ ,2.3,18,0,56.3,763.6,3.9,1.6,98.6
,high,3.5,22.5,0.1,65,891,5,1.6,144.1
,low,1.5,15.6,0,48,663,2.5,1.6,81.3
Corey Davis,TEN ,0,0,0,52.8,713,4.6,0.6,97.9
,high,0,0,0,59.7,806.6,5.8,0.6,169.6
,low,0,0,0,44,588,4,0.6,82.8
Cole Beasley,DAL ,0.5,1.4,0,64.7,718.5,3.9,0.8,94
,high,1,3,0,71,776,4.6,0.8,155.2
,low,0,0,0,57.5,672,3.2,0.8,91.5
Allen Hurns,JAC ,0.3,1.7,0,50.7,663.3,4.4,0.5,92.1
,high,1,5,0,57,705,5.2,0.5,141.4
,low,0,0,0,42.4,565.7,4,0.5,80.3
Sterling Shepard,NYG ,2,11.1,0,55.3,639.7,4.5,0.4,91.6
,high,4,25,0.1,61,688.5,5.4,0.4,155
,low,1,3.2,0,41,522,4,0.4,76.2
Kenny Stills,MIA ,0,0,0,38.6,616.5,4.8,0.3,90
,high,0,0,0,45.7,708.5,5.1,0.3,143.5
,low,0,0,0,29.5,473.8,4.4,0.3,73.9
Tyler Lockett,SEA ,3.9,38.6,0.2,45.4,633.7,3.4,0.4,88.3
,high,4.1,56,0.6,50.1,695.9,4,0.4,148
,low,3.6,25.7,0,40,572,2.7,0.4,83.1
Mohamed Sanu,ATL ,1.6,9.3,0.1,52.5,611.9,4.5,1.1,87.6
,high,3.9,24.2,0.2,56,663,5.5,1.1,154.4
,low,0,0,0,48,552,4,1.1,82.5
Breshad Perriman,BAL ,0.9,4.9,0,45.6,633.6,3.4,0.2,83.9
,high,2,11,0,52.7,725,4.3,0.2,139.7
,low,0,0,0,37,525.5,2.5,0.2,67.7
Taylor Gabriel,ATL ,2.9,22.7,0.1,39,562.8,4,0.4,82.3
,high,3.9,24.6,0.2,49.7,705,4.4,0.4,146.9
,low,1.8,20.4,0,30.2,418.6,3.4,0.4,64.1
Torrey Smith,PHI ,0.1,1.4,0,41.7,597.3,3.8,0.3,82.1
,high,0.4,4.1,0,52.3,829.6,5.3,0.3,161.8
,low,0,0,0,35,483,3,0.3,66.3
Devin Funchess,CAR ,0,0,0,37.6,560.9,4.3,0.4,81
,high,0,0,0,46.9,692.8,5.3,0.4,146.5
,low,0,0,0,23.9,378.6,2.1,0.4,50.7
Anquan Boldin,BUF ,0,0,0,47.3,545,4.2,0.5,78.7
,high,0,0,0,51.5,623.3,5.3,0.5,133.8
,low,0,0,0,44,496,3.3,0.5,74.3
Josh Doctson,WAS ,0,0,0,39.9,562,3.3,0.6,74.5
,high,0,0,0,50.2,690,4.1,0.6,143.7
,low,0,0,0,26,344,2,0.6,46.4
Zay Jones,BUF ,0,0,0,43,554.7,3.2,0.5,73.7
,high,0,0,0,53.2,659.7,3.7,0.5,139.9
,low,0,0,0,35,448,2.8,0.5,62.8
Marqise Lee,JAC ,4.4,25.9,0.1,45.2,561.1,2.7,1,73.4
,high,8.5,53.4,0.2,57,693,3.4,1,149.9
,low,1.8,7.2,0,34,434,2,1,55.4
Kevin White,CHI ,0.6,1.7,0,44.6,548.8,3.2,0.6,73.2
,high,1,3,0,57.2,658.6,4.2,0.6,148.1
,low,0,0,0,38,479,2.4,0.6,66.2
ArDarius Stewart,NYJ ,0.3,1,0,42.9,552.9,3.1,0.6,72.5
,high,1,3,0,53.8,677.9,4,0.6,139.4
,low,0,0,0,32,422,2.2,0.6,60.2
Kenny Golladay,DET ,0,0,0,40.1,507.4,3.6,0.4,71.3
,high,0,0,0,52,641,4.7,0.4,135
,low,0,0,0,24,310,2,0.4,43
J.J. Nelson,ARI ,2.1,14.2,0.1,29.9,490.5,3.8,1.5,70.8
,high,4.4,27.7,0.1,37.2,630.3,5.5,1.5,125.4
,low,0.8,6,0,21.2,352.2,2,1.5,53.1
Terrance Williams,DAL ,0,0,0,38.8,547.3,3,1.1,70.5
,high,0,0,0,49,670,3.7,1.1,123.9
,low,0,0,0,29,382,2,1.1,50.2
Chris Conley,KC ,0,0,0,45.2,540.5,2.7,0.4,69.7
,high,0,0,0,52.4,622.7,4,0.4,95
,low,0,0,0,37.6,430,1.8,0.4,66.1
Tavon Austin,LAR ,18.8,120.8,0.7,41.7,423.9,2.3,1.6,69.7
,high,25,150,1,49.1,522.2,2.9,1.6,116.2
,low,12,78.3,0.6,38,357,1.9,1.6,57.3
Robert Woods,LAR ,0,0.4,0,43.5,524.9,2.8,0.6,68.2
,high,0.1,1.1,0,59,669.4,4,0.6,143.6
,low,0,0,0,33.6,417.9,1.3,0.6,49.4
Brandon LaFell,CIN ,0.3,0.4,0,38.8,509.7,2.9,0.3,67.6
,high,1,1.3,0,51,638.6,3.9,0.3,86.5
,low,0,0,0,29.1,358.9,2,0.3,58.6
Marquise Goodwin,SF ,0.6,3.9,0,34.4,497.4,2.8,0.4,66.1
,high,1.9,11.6,0,47.7,714.9,3,0.4,137.5
,low,0,0,0,26.2,380.9,2.4,0.4,52.9
Chris Hogan,NE ,2.4,15.4,0.1,31.9,486.2,2.9,1.1,65.5
,high,4.3,27.1,0.2,42,696,3.3,1.1,89.4
,low,1,6,0,25,352,2,1.1,47.2
John Ross,CIN ,2.1,11.2,0,38.1,480.5,2.7,0.6,64.7
,high,4,20,0.1,50,622,3.1,0.6,108.2
,low,0,0,0,22,341,2,0.6,52.1
Curtis Samuel,CAR ,12.7,65.2,0.3,31.8,403.5,2.7,0.6,64.1
,high,31.1,158.7,1,39,590,3.3,0.6,116.2
,low,0,0,0,22,262,2,0.6,41.9
Nelson Agholor,PHI ,3,16,0.1,41,466.5,2.6,0.5,63.4
,high,4,25.4,0.2,54,599,4,0.5,106.7
,low,2,10,0,35,375,2,0.5,51.3
Seth Roberts,OAK ,0,0.2,0,33.5,413.4,3.5,0.3,61.5
,high,0.1,0.5,0,37,450,4.9,0.3,94
,low,0,0,0,28.8,380.6,2.1,0.3,51
Tyler Boyd,CIN ,1.5,10.6,0,37.9,443.2,2.1,1.4,55.5
,high,2.3,18.3,0.1,47.5,523.6,3,1.4,95.6
,low,0,0,0,25,388,1.3,1.4,50.8
Laquon Treadwell,MIN ,0.3,1,0,35.1,414.6,2.5,0.6,55.1
,high,1,3,0,47,532.4,3.1,0.6,118.4
,low,0,0,0,17.8,244.6,1.7,0.6,34.8
Kendall Wright,CHI ,1.1,5.9,0,32.3,409.6,2.2,0.4,54
,high,1.6,10.1,0,42,522.2,4,0.4,74.7
,low,0.6,3,0,15.9,179.8,0.8,0.4,38.6
Eli Rogers,PIT ,0.5,3.3,0,30.7,389.6,2.5,0.4,53.8
,high,1,6,0,38,482,4,0.4,87.7
,low,0,0,0,17,193,1,0.4,25.3
Travis Benjamin,LAC ,1.3,6.2,0,31.5,439.7,2.4,3.4,52.3
,high,2.1,13,0,34,481,3,3.4,87.7
,low,0.8,1.5,0,29,406,2,3.4,56.5
Jeremy Kerley,SF ,0.6,3.9,0,39,422.2,1.9,1,51.8
,high,1.9,11.6,0,46.2,502.5,2,1,95
,low,0,0,0,34,355,1.6,1,47.5
Jermaine Kearse,SEA ,0,0,0,30.4,392.5,2.1,0.2,51.4
,high,0,0,0,47,567,2.7,0.2,72.3
,low,0,0,0,21,275,1,0.2,33.5
Adam Humphries,TB ,2.7,16,0,33.4,367.6,2,0.3,50.1
,high,4.1,25.7,0.1,51,560,2.7,0.3,74.8
,low,1.9,8,0,19,215,1.7,0.3,33.5
Phillip Dorsett,IND ,1.6,10,0,25,362.5,2,0.4,48.7
,high,2,13,0.1,32,461,3,0.4,65.4
,low,0.9,5.2,0,13.4,178,1.1,0.4,39.4
Albert Wilson,KC ,1.5,12,0.1,33.4,360.2,1.9,0.4,48.3
,high,1.9,19,0.2,43,493.9,3.8,0.4,109.2
,low,1,5,0,22,285,0,0.4,28.5
Will Fuller,HOU ,0.5,3.3,0,27.5,356.1,1.9,0.2,47.2
,high,1,5,0,35,466.2,3,0.2,96.6
,low,0,0,0,16.4,213.5,0.8,0.2,26
Chris Godwin,TB ,0,0,0,27.9,360.3,2,0.6,46.5
