Player,Team,REC,YDS,TDS,FL,FPTS
Jeff Heuerman,DEN ,12.2,138.7,0.8,0.5,17.6
,high,23,291,1.5,0.5,38.1
,low,6.5,67.1,0,0.5,7.9
Stephen Anderson,HOU ,13.9,133,0.8,0.3,17.5
,high,28,238,1.9,0.3,35.2
,low,5.1,54.4,0,0.3,7.1
Troy Niklas,ARI ,11.5,113.1,0.9,0.1,16.2
,high,17.3,160.3,1.4,0.1,31.3
,low,3,23,0,0.1,7.7
Jordan Leggett,NYJ ,10.5,107.1,0.7,0,14.9
,high,21,215,2,0,33.5
,low,4,36,0,0,4.8
Nick O'Leary,BUF ,9.3,106.4,0.6,0.1,14.3
,high,14,165,1,0.1,23.6
,low,4,55,0,0.1,5.5
Rhett Ellison,NYG ,9.9,103.5,0.6,0.1,13.5
,high,18,212,1,0.1,29.7
,low,4.2,34.1,0.1,0.1,4.1
Jerell Adams,NYG ,10.5,99.2,0.6,0.1,13.5
,high,18,180,1,0.1,24
,low,5.6,47.7,0.4,0.1,7.6
Jace Amaro,TEN ,9.1,104.2,0.5,0,13.4
,high,10.3,126.4,1,0,18.2
,low,8,82,0,0,8.2
Brent Celek,PHI ,9.6,107.8,0.3,0.1,12.6
,high,15.7,174.7,0.9,0.1,22.3
,low,7,75,0,0.1,7.5
Jake Butt,DEN ,9.4,96.5,0.6,0.4,12.6
,high,14,137,1,0.4,20.1
,low,3,33,0,0.4,3.3
Larry Donnell,BAL ,11.7,93.7,0.6,0.4,12
,high,14,112,1,0.4,17.2
,low,9,80,0,0.4,8.9
Geoff Swaim,DAL ,8.1,81.1,0.7,0.1,12
,high,11.1,112.1,1.2,0.1,17.8
,low,5,50,0.2,0.1,6.2
Darren Fells,DET ,7.7,86,0.6,0.1,11.7
,high,10,105.4,1,0.1,21.7
,low,6,68,0,0.1,6.8
Michael Roberts,DET ,8.5,89.4,0.4,0,11.5
,high,17,185,1,0,24.5
,low,3.9,41,0,0,5.9
C.J. Uzomah,CIN ,8.9,89.2,0.4,0.1,11.4
,high,11,113.6,1.2,0.1,18.4
,low,5.3,51.5,0,0.1,7.7
Ben Koyack,JAC ,8.5,80.1,0.5,0.1,11.1
,high,15,150,1,0.1,21
,low,5.4,52.2,0.4,0.1,7.7
Chris Manhertz,CAR ,5.5,65.9,0.7,0,11
,high,5.5,65.9,0.7,0,10.8
,low,5.5,65.9,0.7,0,10.8
Gavin Escobar,KC ,11.9,114.8,0.7,2.5,10.9
,high,28,268,2,2.5,38.8
,low,3.7,36.3,0,2.5,4
D.J. Tialavea,ATL ,5.8,69.2,0.7,0,10.9
,high,5.8,69.2,0.7,0,10.9
,low,5.8,69.2,0.7,0,10.9
Cole Wick,DET ,9.2,90.7,0.3,0,10.8
,high,15.7,148,0.7,0,18.8
,low,4,38,0,0,5
Nick Vannett,SEA ,7.6,79.8,0.4,0,10.6
,high,16,182,1,0,24.2
,low,4,42,0,0,4.2
Ross Travis,KC ,6.7,73.4,0.5,0.1,10.1
,high,12,140,1,0.1,20
,low,4,36,0.2,0.1,4.8
Logan Paulsen,SF ,7.6,73.9,0.5,0.2,9.9
,high,14.3,150.9,0.9,0.2,34.9
,low,4,26,0.2,0.2,3.8
Joshua Perkins,ATL ,3.7,53,0.6,0,9.1
,high,4.4,64,0.7,0,10.3
,low,3,42,0.6,0,7.8
James Hanna,DAL ,7,70.9,0.2,0,8.5
,high,8.9,86.7,0.7,0,21.5
,low,6,62,0,0,6.2
Eric Tomlinson,NYJ ,5.8,61.2,0.4,0,8.5
,high,5.8,61.2,0.4,0,14.1
