Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Chris Thompson,WAS ,57,271,1.8,47.7,362.5,2,1.5,83.1
,high,67.1,303.2,2.1,51.7,418.1,2,1.5,145.7
,low,48.1,240,1,40.8,318.3,1.8,1.5,76.7
Jamaal Charles,DEN ,101.5,450.3,3.2,26.4,209.9,1,4.8,81.8
,high,110.4,571.1,4.1,34,286,1.6,4.8,128.2
,low,83,365,2,17.8,116.8,0,4.8,66.2
C.J. Prosise,SEA ,58.8,264.4,1.9,39.2,379.1,1.3,1,81.8
,high,73.4,373,2.4,46,500,2,1,127.4
,low,46,206,1,32.9,318.9,1,1,66
Jamaal Williams,GB ,115.2,491.4,3.8,11.4,84,0.3,1.6,78.6
,high,150,715,5,20,148,0.8,1.6,121.1
,low,98,388.8,3,4.2,34.4,0,1.6,67
Jeremy Hill,CIN ,115.5,450.9,3.7,11.5,86,0.2,1.3,74.4
,high,150,546,5.4,18.7,144.3,0.6,1.3,104
,low,73.3,299.6,2.7,4,30.9,0,1.3,53.3
Latavius Murray,MIN ,111.5,445.1,3.5,16.7,115.9,0.2,2.4,73.6
,high,148.1,639.6,4,23,149,0.4,2.4,101.2
,low,85,330,2,11,85,0,2.4,54.5
Rex Burkhead,NE ,92.1,389.3,3.1,16.3,133.9,0.9,1.6,73.4
,high,132,582,5,19,152,1,1.6,108.4
,low,58.1,273.7,1.5,13,112,0.6,1.6,52.9
Shane Vereen,NYG ,66.7,288,1.5,38.6,307.6,1.9,3.5,72.9
,high,75,345,2,46.9,386,2.2,3.5,135.2
,low,53,228,1,34,249.8,1.2,3.5,63.3
Jacquizz Rodgers,TB ,107.5,454.9,2.5,16.6,118.9,0.2,1.3,71.2
,high,137.4,587.8,3.6,24.4,173.2,0.5,1.3,98.3
,low,94,401,1.6,12.5,82.2,0,1.3,63
Charles Sims,TB ,72.9,284.2,1.4,33,290.2,1.7,2.6,71.1
,high,87.5,352.6,2.1,46,424,2.5,2.6,119.1
,low,45,173,1,24,204,1,2.6,49.7
Samaje Perine,WAS ,104.1,422.1,3.2,13.4,106.4,0.2,1.8,69.9
,high,144.3,517.6,4.5,27,230,0.8,1.8,99.7
,low,61.2,234.1,2,6.3,54.3,0,1.8,49.8
DeAndre Washington,OAK ,90.8,421.1,2.3,18.9,136.6,0.5,2.1,68.6
,high,103,485,3,25,180,1,2.1,83.1
,low,72.7,319.8,2,10,72,0,2.1,69
Robert Turbin,IND ,76.7,296.5,2.8,23.8,172.1,1.2,1.1,68.5
,high,100,385,5.4,35.5,283.7,1.9,1.1,118.2
,low,38.3,180.8,1.5,13.6,104.9,0.9,1.1,40.5
Dion Lewis,NE ,74.8,322.6,2.2,22.7,170.5,0.9,3.7,60.2
,high,86,386,3.1,39,305,2,3.7,82
,low,58,266,1,15,117,0,3.7,55.2
Jalen Richard,OAK ,60,291.4,1.5,23.4,173.5,0.9,1.3,58.4
,high,78,389,2,33,245,1,1.3,73.5
,low,40.4,180.9,1,13,82,0.8,1.3,51.9
